model_version,life_stage,risk_level,need,lambda,sigma_cap,cash_min,risk_asset_max,cmd_rule,cmd_slack,floor_used,target_met,w_cash,w_bond,w_equity,w_commodity,exp_return,ann_vol,ann_var,utility,sharpe_excess_rf,status
V3,刚毕业,C1,保值,10.0,0.016,0.03,0.095625,off,,,False,22,69,2,7,0.041025,0.015616,0.000244,0.039806,1.730642,optimal
V3,刚毕业,C1,增值,10.0,0.016,0.03,0.1275,off,,,False,27,61,3,9,0.041905,0.015935,0.000254,0.040635,1.751146,optimal
V3,刚毕业,C1,传承,10.0,0.016,0.03,0.11475,off,,,False,26,63,3,8,0.041682,0.015748,0.000248,0.040442,1.757771,optimal
V3,单身青年,C1,保值,10.0,0.015,0.04,0.09,off,,,False,27,64,3,6,0.040768,0.015105,0.000228,0.039627,1.772125,optimal
V3,单身青年,C1,增值,10.0,0.015,0.04,0.12,off,,,False,31,58,3,8,0.040902,0.01502,0.000226,0.039774,1.791077,optimal
V3,单身青年,C1,传承,10.0,0.015,0.04,0.108,off,,,False,30,60,2,8,0.040156,0.014557,0.000212,0.039097,1.796844,optimal
V3,二人世界,C1,保值,10.0,0.014,0.07,0.084375,off,,,False,32,60,2,6,0.039086,0.013686,0.000187,0.038149,1.832951,optimal
V3,二人世界,C1,增值,10.0,0.014,0.07,0.1125,off,,,False,36,53,3,8,0.040122,0.014329,0.000205,0.039095,1.823014,optimal
V3,二人世界,C1,传承,10.0,0.014,0.07,0.10125,off,,,False,35,55,3,7,0.039899,0.014144,0.0002,0.038899,1.831139,optimal
V3,小孩学前,C1,保值,10.0,0.014,0.1,0.073125,off,,,False,31,62,2,5,0.038863,0.013686,0.000187,0.037926,1.816696,optimal
V3,小孩学前,C1,增值,10.0,0.014,0.1,0.0975,off,,,False,34,57,2,7,0.039153,0.013605,0.000185,0.038227,1.848765,optimal
V3,小孩学前,C1,传承,10.0,0.014,0.1,0.08775,off,,,False,32,60,2,6,0.039086,0.013686,0.000187,0.038149,1.832951,optimal
V3,小孩成年前,C1,保值,10.0,0.014,0.08,0.061875,off,,,False,30,64,2,4,0.03864,0.013766,0.00019,0.037692,1.789898,optimal
V3,小孩成年前,C1,增值,10.0,0.014,0.08,0.0825,off,,,False,32,60,3,5,0.039609,0.014159,0.0002,0.038607,1.80865,optimal
V3,小孩成年前,C1,传承,10.0,0.014,0.08,0.07425,off,,,False,31,62,2,5,0.038863,0.013686,0.000187,0.037926,1.816696,optimal
V3,子女成年,C1,保值,10.0,0.012,0.06,0.050625,off,,,False,40,55,2,3,0.036701,0.011959,0.000143,0.035986,1.89823,optimal
V3,子女成年,C1,增值,10.0,0.012,0.06,0.0675,off,,,False,41,53,1,5,0.036401,0.011716,0.000137,0.035715,1.912056,optimal
V3,子女成年,C1,传承,10.0,0.012,0.06,0.06075,off,,,False,41,53,2,4,0.036924,0.011846,0.00014,0.036222,1.935181,optimal
V3,退休,C1,保值,10.0,0.01,0.12,0.03375,off,,,False,50,47,1,2,0.03386,0.009855,9.7e-05,0.033374,2.015141,optimal
V3,退休,C1,增值,10.0,0.01,0.12,0.045,off,,,False,50,46,1,3,0.034239,0.009848,9.7e-05,0.033754,2.055159,optimal
V3,退休,C1,传承,10.0,0.01,0.12,0.0405,off,,,False,50,46,2,2,0.034762,0.010276,0.000106,0.034234,2.020373,optimal
V3,刚毕业,C2,保值,6.5,0.024,0.03,0.1275,off,,,False,3,85,7,5,0.047741,0.023285,0.000542,0.045979,1.449022,optimal
V3,刚毕业,C2,增值,6.5,0.024,0.03,0.17,off,,,False,3,80,7,10,0.049636,0.024108,0.000581,0.047747,1.478181,optimal
V3,刚毕业,C2,传承,6.5,0.024,0.03,0.153,off,,,False,3,82,7,8,0.048878,0.023657,0.00056,0.047059,1.474328,optimal
V3,单身青年,C2,保值,6.5,0.0225,0.04,0.12,off,,,False,4,84,7,5,0.047585,0.023164,0.000537,0.045841,1.44987,optimal
V3,单身青年,C2,增值,6.5,0.0225,0.04,0.16,off,,,False,4,80,6,10,0.048578,0.022554,0.000509,0.046925,1.533123,optimal
V3,单身青年,C2,传承,6.5,0.0225,0.04,0.144,off,,,False,4,82,6,8,0.04782,0.022078,0.000487,0.046236,1.531819,optimal
