row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,api_latency_ms,errors
0,刚毕业,C1,保值,success,87,3,5,5,22,69,2,7,65,-66,3,-2,136,0.014091057447899362,0.015616,3539.259910583496,
1,刚毕业,C1,增值,validation_failed,87,0,13,0,27,61,3,9,,,,,,0.034381220164502596,0.015935,2953.3228874206543,Portfolio volatility 0.034381 > cap 0.016000
2,刚毕业,C1,传承,validation_failed,89,0,11,0,26,63,3,8,,,,,,0.029187577837155313,0.015748,3710.9720706939697,Portfolio volatility 0.029188 > cap 0.016000
3,单身青年,C1,保值,validation_failed,91,0,9,0,27,64,3,6,,,,,,0.02400513903313205,0.015105,2391.42107963562,Portfolio volatility 0.024005 > cap 0.015000
4,单身青年,C1,增值,validation_failed,88,0,6,6,31,58,3,8,,,,,,0.01691852239410995,0.01502,2981.374979019165,Portfolio volatility 0.016919 > cap 0.015000
5,单身青年,C1,传承,validation_failed,89,0,6,5,30,60,2,8,,,,,,0.016669289127014385,0.014557,3025.02703666687,Portfolio volatility 0.016669 > cap 0.015000
6,二人世界,C1,保值,validation_failed,7,93,0,0,32,60,2,6,,,,,,0.01911615547122381,0.013686,3668.419122695923,Portfolio volatility 0.019116 > cap 0.014000
7,二人世界,C1,增值,validation_failed,7,89,2,2,36,53,3,8,,,,,,0.018156502967256665,0.014329,2462.940216064453,Portfolio volatility 0.018157 > cap 0.014000
8,二人世界,C1,传承,validation_failed,7,93,0,0,35,55,3,7,,,,,,0.01911615547122381,0.014144,3041.9669151306152,Portfolio volatility 0.019116 > cap 0.014000
9,小孩学前,C1,保值,validation_failed,93,0,7,0,31,62,2,5,,,,,,0.01884314994898677,0.013686,2567.667007446289,Portfolio volatility 0.018843 > cap 0.014000
10,小孩学前,C1,增值,validation_failed,10,90,0,0,34,57,2,7,,,,,,0.0185056748053131,0.013605,3839.3502235412598,Portfolio volatility 0.018506 > cap 0.014000
11,小孩学前,C1,传承,validation_failed,91,0,9,0,32,60,2,6,,,,,,0.02400513903313205,0.013686,3064.466953277588,Portfolio volatility 0.024005 > cap 0.014000
12,小孩成年前,C1,保值,validation_failed,8,92,0,0,30,64,2,4,,,,,,0.01891259897528629,0.013766,3765.843152999878,Portfolio volatility 0.018913 > cap 0.014000
13,小孩成年前,C1,增值,validation_failed,8,92,0,0,32,60,3,5,,,,,,0.01891259897528629,0.014159,2623.2049465179443,Portfolio volatility 0.018913 > cap 0.014000
14,小孩成年前,C1,传承,validation_failed,8,92,0,0,31,62,2,5,,,,,,0.01891259897528629,0.013686,3112.200975418091,Portfolio volatility 0.018913 > cap 0.014000
15,子女成年,C1,保值,validation_failed,6,94,0,0,40,55,2,3,,,,,,0.019319772255386447,0.011959,2981.783151626587,Portfolio volatility 0.019320 > cap 0.012000
16,子女成年,C1,增值,validation_failed,6,94,0,0,41,53,1,5,,,,,,0.019319772255386447,0.011716,2877.864122390747,Portfolio volatility 0.019320 > cap 0.012000
17,子女成年,C1,传承,validation_failed,6,94,0,0,41,53,2,4,,,,,,0.019319772255386447,0.011846,3023.642063140869,Portfolio volatility 0.019320 > cap 0.012000
18,退休,C1,保值,success,97,0,2,1,50,47,1,2,47,-47,1,-1,96,0.00627996815278549,0.009855,3146.285057067871,
19,退休,C1,增值,validation_failed,12,88,0,0,50,46,1,3,,,,,,0.018099016547868007,0.009848,2858.7028980255127,Portfolio volatility 0.018099 > cap 0.010000
20,退休,C1,传承,success,96,0,2,2,50,46,2,2,46,-46,0,0,92,0.006349771649437483,0.010276,2634.4552040100098,
21,刚毕业,C2,保值,validation_failed,87,0,13,0,3,85,7,5,,,,,,0.034381220164502596,0.023285,3080.7268619537354,Portfolio volatility 0.034381 > cap 0.024000
22,刚毕业,C2,增值,validation_failed,3,83,10,4,3,80,7,10,,,,,,0.02866764378179693,0.024108,2453.9849758148193,Portfolio volatility 0.028668 > cap 0.024000
23,刚毕业,C2,传承,validation_failed,3,82,10,5,3,82,7,8,,,,,,0.028711886040453702,0.023657,2312.999963760376,Portfolio volatility 0.028712 > cap 0.024000
24,单身青年,C2,保值,validation_failed,4,88,6,6,4,84,7,5,,,,,,0.022324005017021475,0.023164,2916.222095489502,"Weights sum to 104, not 100"
25,单身青年,C2,增值,validation_failed,4,84,8,4,4,80,6,10,,,,,,0.02479212778282655,0.022554,3102.1671295166016,Portfolio volatility 0.024792 > cap 0.022500
26,单身青年,C2,传承,validation_failed,4,86,7,3,4,82,6,8,,,,,,0.02312422755466656,0.022078,3820.6522464752197,Portfolio volatility 0.023124 > cap 0.022500
27,二人世界,C2,保值,success,7,89,2,2,7,82,6,5,0,7,-4,-3,14,0.018156502967256665,0.021289,2885.622024536133,
28,二人世界,C2,增值,validation_failed,7,85,10,5,7,78,5,10,,,,,,0.028985686122636467,0.02094,2875.8139610290527,"Weights sum to 107, not 100; Portfolio volatility 0.028986 > cap 0.021000"
29,二人世界,C2,传承,validation_failed,7,86,7,0,7,80,5,8,,,,,,0.023008396293527283,0.020427,2880.056142807007,Portfolio volatility 0.023008 > cap 0.021000
30,小孩学前,C2,保值,success,10,90,0,0,10,81,5,4,0,9,-5,-4,18,0.0185056748053131,0.019521,2955.8846950531006,
31,小孩学前,C2,增值,validation_failed,10,87,13,0,10,77,6,7,,,,,,0.035404913500812284,0.02114,2959.609031677246,"Weights sum to 110, not 100; Portfolio volatility 0.035405 > cap 0.021000"
32,小孩学前,C2,传承,success,88,0,6,6,10,79,5,6,78,-79,1,0,158,0.01691852239410995,0.019668,2417.9341793060303,
33,小孩成年前,C2,保值,success,8,92,0,0,8,84,6,2,0,8,-6,-2,16,0.01891259897528629,0.021158,3874.232053756714,
34,小孩成年前,C2,增值,success,8,92,0,0,8,81,6,5,0,11,-6,-5,22,0.01891259897528629,0.021157,2908.658027648926,
