row_index,life_stage,risk_level,need,status,llm_w_cash,llm_w_bond,llm_w_equity,llm_w_commodity,exp_w_cash,exp_w_bond,exp_w_equity,exp_w_commodity,diff_cash,diff_bond,diff_equity,diff_commodity,total_diff,llm_vol,exp_vol,llm_exp_return,exp_return,llm_sharpe,exp_sharpe,api_latency_ms,errors
0,刚毕业,C1,保值,pending,,,,,22,69,2,7,,,,,,,0.015616,,0.041025,,1.730642,,
1,刚毕业,C1,增值,pending,,,,,27,61,3,9,,,,,,,0.015935,,0.041905,,1.751146,,
2,刚毕业,C1,传承,pending,,,,,26,63,3,8,,,,,,,0.015748,,0.041682,,1.757771,,
3,单身青年,C1,保值,pending,,,,,27,64,3,6,,,,,,,0.015105,,0.040768,,1.772125,,
4,单身青年,C1,增值,pending,,,,,31,58,3,8,,,,,,,0.01502,,0.040902,,1.791077,,
5,单身青年,C1,传承,pending,,,,,30,60,2,8,,,,,,,0.014557,,0.040156,,1.796844,,
6,二人世界,C1,保值,pending,,,,,32,60,2,6,,,,,,,0.013686,,0.039086,,1.832951,,
7,二人世界,C1,增值,pending,,,,,36,53,3,8,,,,,,,0.014329,,0.040122,,1.823014,,
8,二人世界,C1,传承,pending,,,,,35,55,3,7,,,,,,,0.014144,,0.039899,,1.831139,,
9,小孩学前,C1,保值,pending,,,,,31,62,2,5,,,,,,,0.013686,,0.038863,,1.816696,,
10,小孩学前,C1,增值,pending,,,,,34,57,2,7,,,,,,,0.013605,,0.039153,,1.848765,,
11,小孩学前,C1,传承,pending,,,,,32,60,2,6,,,,,,,0.013686,,0.039086,,1.832951,,
12,小孩成年前,C1,保值,pending,,,,,30,64,2,4,,,,,,,0.013766,,0.03864,,1.789898,,
13,小孩成年前,C1,增值,pending,,,,,32,60,3,5,,,,,,,0.014159,,0.039609,,1.80865,,
14,小孩成年前,C1,传承,pending,,,,,31,62,2,5,,,,,,,0.013686,,0.038863,,1.816696,,
15,子女成年,C1,保值,pending,,,,,40,55,2,3,,,,,,,0.011959,,0.036701,,1.89823,,
16,子女成年,C1,增值,pending,,,,,41,53,1,5,,,,,,,0.011716,,0.036401,,1.912056,,
17,子女成年,C1,传承,pending,,,,,41,53,2,4,,,,,,,0.011846,,0.036924,,1.935181,,
18,退休,C1,保值,pending,,,,,50,47,1,2,,,,,,,0.009855,,0.03386,,2.015141,,
19,退休,C1,增值,pending,,,,,50,46,1,3,,,,,,,0.009848,,0.034239,,2.055159,,
20,退休,C1,传承,pending,,,,,50,46,2,2,,,,,,,0.010276,,0.034762,,2.020373,,
